"plot_id","X","Y","n_traps","date_set","duration","trapdays","carabidae_n","abax_ovalis","abax_parallelepipedus","abax_parallelus","carabus_auronitens","carabus_auratus","carabus_coriaceus","carabus_intricatus","carabus_irregularis","carabus_nemoralis","carabus_problematicus","carabus_sylvestris","carabus_violaceus","carabus_arcensis","cychrus_attenuatus","cychrus_caraboides","dromius_agilis","harpalus_laevipes","harpalus_latus","leistus_rufomarginatus","molops_elatus","molops_piceus","nebria_brevicollis","nebria_salina","notiophilus_biguttatus","notiophilus_rufipes","pterostichus_niger","pterostichus_aethiops","pterostichus_burmeisteri","pterostichus_oblongopunctatus","pterostichus_madidus","pterostichus_melanarius","pterostichus_cristatus","pterostichus_nigrita","trichotichnus_laevicollis","trichotichnus_nitens","poecilus_cupreus","pterostichus_pumilio","pterostichus_diligens","limodromus_assimilis","calathus_micropterus","licinus_hoffmanseggii","avg_alt","DBHMean","lying_dw_volume","pc_broadleaf","roe_deer","canopycover","for_cover_100ha","for_cover_2500ha","sd_slope","northness"
"CFB018",3445796.06,5296439.58,3,"2020-05-12",41,123,43,0,14,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,1,12,1,0,0,0,1,0,0,0,0,0,2,0,947,260.5061224,46.20017724,0.09127789,0.628277371,0.56522575,95.371,83.1171636834988,1.9640508300692,0.403427393191563
"CFB020",3444171.43,5299095.95,3,"2020-05-12",41,123,120,2,59,0,11,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,21,0,0,0,0,1,1,0,0,0,0,0,0,992,406.7798507,34.25437839,0.014925373,0.272286325,0.59829675,83.874,80.2993027470088,2.35132498927493,0.819631025846467
"CFB022",3418426.84,5312078.74,3,"2020-04-20",36,108,73,0,9,12,5,0,0,5,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8,2,0,0,0,0,0,0,0,0,0,0,0,715,264.3913956,6.741846413,0.351521511,0.053132908,0.97917525,92.277,84.6438516195109,3.37962799659285,0.346632229647622
"CFB028",3426218.22,5309130.81,3,"2020-05-19",37,111,180,19,63,0,20,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,4,8,0,0,0,0,0,1,47,0,0,0,0,0,0,5,0,0,0,0,0,0,1026,483.4176471,62.21851065,0.370588235,0.09195156,0.6158615,67.45,89.7526883441081,3.88268918472621,0.771631211487949
"CFB033",3409185.4,5294274.26,3,"2020-05-18",36,108,99,40,44,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,985,159.9740821,186.8658203,0.315334773,0.166264812,0.59817025,82.042,82.2318678241389,2.69479910182234,0.150906451698856
"CFB034",3431627.57,5295438.68,3,"2020-04-27",36,108,70,17,9,0,12,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,21,0,1,0,0,0,3,0,0,0,0,0,0,0,928,330.2593857,28.07012473,0.232081911,0.067000711,0.66704725,88.115,77.2542697002308,2.8201213729337,-0.537477190168947
"CFB037",3419127.48,5308543.54,3,"2020-05-20",36,108,93,51,6,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,12,6,4,4,0,0,0,0,0,0,0,0,0,0,1056,400.8731118,12.40789173,0.900302115,0.05615722,0.9825305,77.519,78.1594802409966,3.61051105130015,-0.656772929820418
"CFB039",3418192.76,5313067.17,3,"2020-04-20",36,108,79,1,19,0,25,0,0,9,0,14,1,0,0,1,0,0,0,0,0,0,3,2,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,649,392.9268293,26.01693795,0.473170732,0.210122938,0.67083375,89.525,81.9874459411344,3.20272268305435,0.493328111831844
"CFB052",3439622.03,5331830.07,3,"2020-05-07",34,102,19,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,4,1,0,0,0,945,177.8780749,9.555842199,0.00850159399999995,0.242702911,0.55642125,78.496,54.5012019471143,2.98232084266015,-0.495450581206836
"CFB060",3447868.07,5284931.08,3,"2020-04-22",37,111,97,0,41,10,7,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,12,5,7,1,0,0,0,1,0,0,0,0,0,0,613,256.9892761,38.77175652,0.467914439,0.388969896,0.72928775,53.394,25.7652193742224,2.8330072910298,0.253581851604307
"CFB061",3445525.13,5279174.53,3,"2020-04-22",37,111,50,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,515,349.9860465,10.28594001,0.786046512,0.319398907,0.694547,87.757,51.5618373992847,9.35481179580216,-0.297399785275261
"CFB068",3437537.75,5283556.09,2,"2020-05-04",35,70,63,1,13,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,792,141.6114833,70.69942143,0.459662289,0.269461416,0.80303675,87.789,50.0790097972149,3.20642801549646,-0.670885813011986
"CFB073",3428976.78,5322622.76,3,"2020-05-06",34,102,81,0,6,24,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,32,2,0,0,0,0,0,0,0,0,0,0,0,0,871,239.665362,19.39886983,0.549902153,0.313962072,0.94721275,86.937,52.9523314196555,4.40438657590259,-0.907294078850746
"CFB079",3437623.7,5311511.8,3,"2020-05-06",33,99,96,1,38,7,10,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,12,2,0,0,0,0,1,0,0,0,0,0,0,0,922,429.7828283,21.31668361,0.212121212,0.164659834,0.706322,45.642,53.4630969667151,4.64197918892923,0.546483257433071
"CFB084",3458137.06,5330904.14,3,"2020-04-29",35,105,24,0,4,8,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,1,0,0,754,206.7080103,101.2106291,0.024050633,0.218587585,0.7510325,72.02,42.9638341193742,1.41735475780672,0.201606988257998
"CFB086",3460521.89,5331522.39,3,"2020-05-07",33,99,76,0,51,8,3,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,713,379.7070707,27.02058207,0.0370370370000001,0.225547046,0.6539975,48.005,34.5557382229529,1.08061365226204,0.888654434258863
"CFB087",3435001.51,5316207.95,3,"2020-05-06",34,102,184,2,45,0,11,0,0,0,0,28,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,20,67,0,0,0,0,3,1,1,0,0,0,0,0,1018,382.9357143,48.00461836,0.292857143,0.171152804,0.66351475,54.185,51.7754497125919,1.6481308347442,0.669936478835516
"CFB091",3422711.87,5289742.28,3,"2020-05-18",40,120,249,73,43,3,45,0,0,0,0,13,0,0,3,0,1,0,0,1,0,0,1,11,0,0,0,0,0,0,45,0,1,7,0,0,1,0,0,1,0,0,0,0,1082,215.4752941,96.13500736,0.792626728,0.161652305,0.70613325,91.337,76.3738989207223,3.38896206948954,0.968682680350542
"CFB093",3440315.68,5288446.33,3,"2020-05-04",35,105,57,3,23,3,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,12,1,0,0,0,0,4,0,0,0,0,0,0,1,665,358.5697211,203.4645797,0.505976096,0.064709852,0.839939,97.39,67.3862254368559,3.54886552424867,0.313603092080913
"CFB094",3422535.49,5281455.07,3,"2020-05-18",40,120,70,11,24,0,17,0,0,0,0,4,0,0,4,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1000,121.6468366,80.4715778,0.38292011,0.226915849,0.53886825,95.233,68.2932878871527,3.16032518659985,0.869136313037896
"CFB101",3430544.09,5322732.73,3,"2020-05-19",37,111,90,1,28,0,13,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33,10,0,0,0,0,0,1,0,0,0,0,0,0,986,275.8189189,78.85186816,0.127027027,0.196745546,0.54961325,72.541,62.8059001676275,4.04764966473996,0.498397035989595
"CFB103",3452114.78,5330660.92,3,"2020-05-07",33,99,12,0,1,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,841,266.6532438,10.63473058,0.102908277,1.069681306,0.40853975,41.072,57.1859449253564,4.33442424807267,-0.648114722037688
"CFB104",3420208.92,5282368.69,3,"2020-04-22",37,111,93,1,22,4,21,0,0,0,0,18,3,0,0,0,1,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,580,323.4394904,70.98222755,0.639240506,0.24460692,0.594709,87.214,73.0040928349383,4.93809191578601,-0.827795655910997
"CFB106",3418052.27,5283672.28,3,"2020-04-27",36,108,101,36,17,2,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,22,0,1,0,0,0,0,1,0,0,0,0,0,0,774,278.8227425,39.78779234,0.894039735,0.274988644,0.731563,94.381,63.962396239624,4.99292484316421,0.474842124484999
"CFB107",3434516.71,5282470.51,2,"2020-04-22",37,74,86,24,24,1,4,0,0,0,0,10,0,0,3,0,4,0,0,0,0,0,4,4,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,733,240.627027,82.10188205,0.42010772,0.358250756,0.7417165,91.063,55.8026498967884,5.70887838556131,-0.259151986068068
"CFB108",3427385.53,5290452.93,3,"2020-05-18",40,120,329,60,62,0,28,0,0,0,0,26,0,0,3,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,48,2,66,5,0,0,0,0,0,1,0,0,0,0,1126,239.7869416,65.01326233,0.319727891,0.117746231,0.45372675,97.337,78.7592458506183,4.32523671881948,0.411708183220904
"CFB110",3441890.41,5292669.11,3,"2020-05-12",34,102,77,0,19,13,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,2,0,0,0,0,1,0,0,0,0,0,0,930,369.1201413,15.09106959,0.127208481,0.320439984,0.77132175,81.753,69.5428852592797,3.94107462378293,-0.326142371581364
"CFB111",3410596.05,5287336.35,3,"2020-04-21",36,108,152,82,38,0,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,682,239.6396396,68.05324025,0.613333333,0.247688295,0.858684,92.673,68.4402781445295,3.81138263251964,0.110037602432417
"CFB113",3430887.61,5307121.78,3,"2020-05-14",39,117,78,12,22,0,12,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,1,0,0,0,1,0,1,0,0,0,0,1160,282.4026258,30.58888315,0.11790393,0.077977664,0.61367325,96.718,76.1128712237583,7.63400074622243,0.706989494026941
"CFB114",3417926.64,5314646.35,3,"2020-04-23",34,102,60,2,19,6,5,0,0,2,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,516,526.2378049,51.71875865,0.12804878,0.099889909,0.79648125,81.524,67.1735477676428,3.94311856506615,0.856050447970629
"CFB118",3432913.6,5323108.12,3,"2020-04-20",36,108,12,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,657,450.8695652,115.8046682,0.657004831,0.026466365,0.875879,92.344,76.2389189362179,5.16777760022546,-0.858293606786616
"CFB119",3439383.47,5288955.51,3,"2020-05-12",34,102,38,4,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,19,0,0,0,0,0,0,1,0,1,0,0,0,0,887,265.9875622,282.900549,0.575682382,0.124484029,0.8224855,98.24,62.1076591965564,6.99801991476041,-0.109319784634267
"CFB121",3416615.86,5282222.08,3,"2020-04-21",36,108,73,6,7,15,14,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,13,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,632,311.0899654,72.63197436,0.679310345,0.11168656,0.865236,82.628,66.2803350962962,5.41044360796518,-0.857441790897102
"CFB122",3406104.69,5281967.79,3,"2020-04-21",36,108,67,30,17,1,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,527,379.5264151,54.585271,0.349056604,0.142363022,0.8332155,91.896,68.2877742746027,3.46374325689786,0.665133745016953
"CFB124",3429700.46,5286835.71,3,"2020-04-27",36,108,177,16,40,0,21,0,0,0,0,75,0,0,2,0,0,0,0,0,1,0,0,6,0,0,3,0,0,0,10,2,1,0,0,0,0,0,0,0,0,0,0,0,929,260.763587,34.68073445,0.032432432,0.193521417,0.4964515,96.931,76.0578480987338,4.24698005276669,0.0125019483345504
"CFB125",3402580.83,5288279.31,3,"2020-04-21",36,108,52,8,9,6,12,1,0,0,1,2,1,0,4,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,533,369.1204819,55.93832832,0.548192771,0.304663353,0.872981,74.405,77.4702434535598,5.32387077194145,0.0263207974691524
"CFB128",3433672.35,5305727.48,2,"2020-05-14",39,78,41,0,4,0,20,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,982,318.3176179,18.58671403,0.327543424,0.107192845,0.82259725,65.493,65.5101648945107,10.2368950651947,0.27165134892523
"CFB135",3402196.79,5283357.22,3,"2020-04-21",36,108,69,35,17,3,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,292.3696319,33.61234562,0.068912711,0.309159256,0.9235045,98.237,89.7975922317667,1.50230825930313,0.77432282186964
"CFB140",3457663.57,5335424.66,3,"2020-04-29",35,105,78,1,28,15,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0,0,0,0,0,0,0,0,0,0,0,0,744,326.9333333,13.21355867,0.064367816,0.343265904,0.79277375,60.711,42.9810350138207,5.53236527338239,0.967197660755739
"CFB141",3457581.19,5334426.96,3,"2020-04-29",35,105,17,0,11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,756,237.9840989,19.69336832,0.026362039,0.145604396,0.70907125,69.254,49.2325293927041,4.24836546060923,-0.964444458776712
"CFB148",3442997.77,5331992.93,3,"2020-05-07",34,102,47,0,19,0,11,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,2,0,1,0,0,0,0,831,258.2642706,27.60498963,0.412631579,0.157124586,0.88860275,84.192,64.2200476868669,8.40113879573178,0.848930437649554
"CFB151",3437707.09,5334666.92,3,"2020-05-08",33,99,88,0,29,0,14,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,851,333.8785942,12.24891905,0.03514377,0.086940856,0.7686245,88.605,76.3820160893515,3.53860775289156,0.403579814692296
"CFB152",3436667.94,5332664.33,3,"2020-05-08",21,63,54,0,12,0,11,0,0,0,0,5,0,5,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,994,340.0945946,31.68818564,0.095952024,0.141153452,0.7513275,84.628,80.6932059575387,3.79721390230733,-0.119286259237293
"CFB160",3436615.18,5319010.01,3,"2020-05-08",32,96,76,10,28,8,9,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,11,2,0,0,0,0,1,0,0,0,0,0,0,0,878,260.9116998,18.25527523,0.39869281,0.12194452,0.637039,96.6,73.4796817561811,3.01204238787346,-0.409771616255219
"CFB161",3437439.02,5317733.19,3,"2020-05-08",35,105,70,2,23,3,16,0,0,0,0,6,0,3,1,0,0,1,0,0,0,0,2,2,0,0,1,0,0,1,2,4,0,0,0,0,0,3,0,0,0,0,0,0,951,405.5217391,26.03253695,0.13003096,0.245959389,0.75542975,89.553,68.1451435474645,2.59814767353873,-0.890361385065317
"CFB165",3445163.46,5297593.55,3,"2020-05-12",41,123,158,5,57,0,0,0,0,0,0,50,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,23,2,16,0,0,0,0,1,0,0,0,0,0,0,924,286.9365482,13.53964269,0.395465995,0.393023959,0.6981515,88.034,87.738162384444,6.1919121947637,-0.862551909020246
"CFB172",3430651.14,5292324.03,3,"2020-04-27",36,108,40,5,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,950,312.1462141,46.8018764,0.339425587,0.118400291,0.762593,82.176,81.2424989198445,4.54864132280808,0.534246005791472
"CFB178",3417591.91,5293666.14,3,"2020-04-21",45,135,22,3,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,663,175.0534862,76.58451772,0.923954373,0.144669701,0.89753525,77.631,56.2136687510252,6.21804938980415,0.755690805916142
"CFB179",3439083.9,5295385.49,3,"2020-05-12",34,102,45,0,14,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,1003,266.6961538,41.78150378,0.081285444,0.229305354,0.47782675,89.598,74.1194732041414,3.39401823307858,0.246170840485519
"CFB180",3428666.37,5286815.79,3,"2020-04-27",36,108,99,8,27,0,16,0,0,0,0,29,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,1,0,0,0,0,0,1,0,0,0,0,0,0,959,304.8526316,34.82600932,0.151436031,0.187581553,0.698839,95.76,84.6524335849525,2.61093390689728,-0.0958782445087047
"CFB181",3438050.66,5336631.23,3,"2020-05-08",33,99,145,1,58,0,20,0,0,2,0,42,0,7,0,0,0,0,0,0,1,0,0,5,0,0,2,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,903,286.770073,68.02862326,0.061705989,0.156072623,0.797873,96.939,83.8304,3.69720491797176,0.128769997992193
"CFB182",3434374.11,5325749.38,3,"2020-05-14",41,123,158,14,79,7,6,0,0,0,0,7,0,0,0,0,1,0,0,0,2,0,0,4,0,0,0,0,0,0,33,2,0,0,0,0,0,3,0,0,0,0,0,0,878,266.2933025,8.753531657,0.596810934,0.117223754,0.885279,97.69,79.6808493615387,5.75915008766666,-0.159945628825086
"CFB183",3430723.45,5294929.58,3,"2020-04-27",36,108,99,35,19,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,873,164.0424354,37.87098646,0.249134948,0.061782795,0.3122925,85.79,69.3585424984598,2.97320494089579,0.820985143321398
"CFB186",3449546.76,5300255.04,3,"2020-05-06",33,99,158,6,97,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,7,1,0,0,0,0,0,7,0,23,0,1,0,0,0,0,0,0,0,0,0,787,228.6188235,39.44736093,0.683840749,0.094785307,0.7742445,58.517,40.4386557916085,10.921566749529,0.877438251339222
